date; value;;;
1986-01-01;8.25;;;
1986-02-01;7.94;;;
1986-03-01;7.50;;;
1986-04-01;6.94;;;
1986-05-01;7.13;;;
1986-06-01;7.03;;;
1986-07-01;6.56;;;
1986-08-01;5.94;;;
1986-09-01;6.13;;;
1986-10-01;5.94;;;
1986-11-01;6.38;;;
1986-12-01;6.75;;;
1987-01-01;6.20;;;
1987-02-01;6.47;;;
1987-03-01;6.58;;;
1987-04-01;6.81;;;
1987-05-01;7.25;;;
1987-06-01;7.06;;;
1987-07-01;6.75;;;
1987-08-01;7.13;;;
1987-09-01;7.75;;;
1987-10-01;7.13;;;
1987-11-01;8.19;;;
1987-12-01;7.13;;;
1988-01-01;6.81;;;
1988-02-01;6.81;;;
1988-03-01;6.80;;;
1988-04-01;7.13;;;
1988-05-01;7.63;;;
1988-06-01;7.81;;;
1988-07-01;8.13;;;
1988-08-01;8.38;;;
1988-09-01;8.31;;;
1988-10-01;8.38;;;
1988-11-01;9.56;;;
1988-12-01;9.19;;;
1989-01-01;9.25;;;
1989-02-01;10.06;;;
1989-03-01;10.06;;;
1989-04-01;9.88;;;
1989-05-01;9.69;;;
1989-06-01;9.44;;;
1989-07-01;8.69;;;
1989-08-01;9.00;;;
1989-09-01;9.13;;;
1989-10-01;8.75;;;
1989-11-01;8.81;;;
1989-12-01;8.50;;;
1990-01-01;8.31;;;
1990-02-01;8.38;;;
1990-03-01;8.38;;;
1990-04-01;8.50;;;
1990-05-01;8.31;;;
1990-06-01;8.31;;;
1990-07-01;8.00;;;
1990-08-01;8.06;;;
1990-09-01;8.27;;;
1990-10-01;7.94;;;
1990-11-01;8.63;;;
1990-12-01;7.63;;;
1991-01-01;6.94;;;
1991-02-01;7.00;;;
1991-03-01;6.31;;;
1991-04-01;6.06;;;
1991-05-01;5.94;;;
1991-06-01;6.06;;;
1991-07-01;5.94;;;
1991-08-01;5.69;;;
1991-09-01;5.44;;;
1991-10-01;5.13;;;
1991-11-01;5.19;;;
1991-12-01;4.31;;;
1992-01-01;4.19;;;
1992-02-01;4.25;;;
1992-03-01;4.25;;;
1992-04-01;3.94;;;
1992-05-01;4.00;;;
1992-06-01;3.94;;;
1992-07-01;3.38;;;
1992-08-01;3.48;;;
1992-09-01;3.19;;;
1992-10-01;3.25;;;
1992-11-01;4.25;;;
1992-12-01;3.31;;;
1993-01-01;3.13;;;
1993-02-01;3.19;;;
1993-03-01;3.19;;;
1993-04-01;3.13;;;
1993-05-01;3.25;;;
1993-06-01;3.19;;;
1993-07-01;3.19;;;
1993-08-01;3.19;;;
1993-09-01;3.19;;;
1993-10-01;3.19;;;
1993-11-01;3.56;;;
1993-12-01;3.25;;;
1994-01-01;3.13;;;
1994-02-01;3.56;;;
1994-03-01;3.69;;;
1994-04-01;4.00;;;
1994-05-01;4.38;;;
1994-06-01;4.56;;;
1994-07-01;4.50;;;
1994-08-01;4.88;;;
1994-09-01;5.06;;;
1994-10-01;5.06;;;
1994-11-01;6.06;;;
1994-12-01;6.00;;;
1995-01-01;6.09;;;
1995-02-01;6.13;;;
1995-03-01;6.13;;;
1995-04-01;6.06;;;
1995-05-01;6.06;;;
1995-06-01;6.13;;;
1995-07-01;5.88;;;
1995-08-01;5.88;;;
1995-09-01;5.88;;;
1995-10-01;5.83;;;
1995-11-01;5.98;;;
1995-12-01;5.69;;;
1996-01-01;5.44;;;
1996-02-01;5.31;;;
1996-03-01;5.44;;;
1996-04-01;5.44;;;
1996-05-01;5.44;;;
1996-06-01;5.50;;;
1996-07-01;5.47;;;
1996-08-01;5.44;;;
1996-09-01;5.43;;;
1996-10-01;5.38;;;
1996-11-01;5.56;;;
1996-12-01;5.50;;;
1997-01-01;5.44;;;
1997-02-01;5.44;;;
1997-03-01;5.69;;;
1997-04-01;5.69;;;
1997-05-01;5.69;;;
1997-06-01;6.06;;;
1997-07-01;5.63;;;
1997-08-01;5.66;;;
1997-09-01;5.66;;;
1997-10-01;5.65;;;
1997-11-01;5.97;;;
1997-12-01;5.72;;;
